run_id,label_attack,scenario_id,severity,seed,split
RUN_00152,MAVLINK_ANOMALY,S4,LOW,2002,train
RUN_00153,MAVLINK_ANOMALY,S4,MEDIUM,2001,train
RUN_00154,MAVLINK_ANOMALY,S4,MEDIUM,2002,train
RUN_00155,MAVLINK_ANOMALY,S4,HIGH,2001,train
RUN_00156,MAVLINK_ANOMALY,S4,HIGH,2002,train
RUN_00037,REPLAY,S1,LOW,2001,train
RUN_00038,REPLAY,S1,LOW,2002,train
RUN_00039,REPLAY,S1,MEDIUM,2001,val
RUN_00040,REPLAY,S1,MEDIUM,2002,train
RUN_00041,REPLAY,S1,HIGH,2001,train
RUN_00042,REPLAY,S1,HIGH,2002,train
RUN_00043,REPLAY,S2,LOW,2001,train
RUN_00044,REPLAY,S2,LOW,2002,train
RUN_00045,REPLAY,S2,MEDIUM,2001,train
RUN_00046,REPLAY,S2,MEDIUM,2002,val
RUN_00047,REPLAY,S2,HIGH,2001,test
RUN_00048,REPLAY,S2,HIGH,2002,test
RUN_00049,REPLAY,S3,LOW,2001,train
RUN_00050,REPLAY,S3,LOW,2002,train
RUN_00051,REPLAY,S3,MEDIUM,2001,train
RUN_00052,REPLAY,S3,MEDIUM,2002,train
RUN_00053,REPLAY,S3,HIGH,2001,val
RUN_00054,REPLAY,S3,HIGH,2002,train
RUN_00055,REPLAY,S4,LOW,2001,train
RUN_00056,REPLAY,S4,LOW,2002,train
RUN_00057,REPLAY,S4,MEDIUM,2001,val
RUN_00058,REPLAY,S4,MEDIUM,2002,train
RUN_00059,REPLAY,S4,HIGH,2001,test
RUN_00060,REPLAY,S4,HIGH,2002,train
